"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",26.03.02,"Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры",Системы электроэнергетики и автоматизации судов,207,МИР,25,83800,118,"О, ОЗ"
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",26.03.02,"Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры",Энергоустановки на ядерном и водородном топливе для объектов морской техники,207,МИР,25,242800,118,О
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",26.03.02,"Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры","Энергетическое оборудование судов, морских и береговых нефтегазовых комплексов",207,МИР,25,242800,118,О
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",17.05.03,"Проектирование, производство и испытание корабельного вооружения и информационно-управляющих систем",Корабельные комплексы морского подводного оружия,202,МИР,25,242800,118,О,Специалитет
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",26.05.01,"Проектирование и постройка кораблей, судов и объектов океанотехники",Кораблестроение,210,МИР,32,384000,118,О,Специалитет
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",26.05.01,"Проектирование и постройка кораблей, судов и объектов океанотехники",Подводное кораблестроение,210,МИР,33,384000,118,О,Специалитет
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",26.05.01,"Проектирование и постройка кораблей, судов и объектов океанотехники",Цифровой инжиниринг в судостроении,218,МИР,25,384000,123,О,Специалитет
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",26.05.02,"Проектирование, изготовление и ремонт энергетических установок и систем автоматизации кораблей и судов",Корабельные и судовые главные двигатели,212,МИР,33,384000,118,О,Специалитет
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",26.05.02,"Проектирование, изготовление и ремонт энергетических установок и систем автоматизации кораблей и судов",Системы автоматизации кораблей и судов,212,МИР,33,384000,118,О,Специалитет
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",17.05.03,"Проектирование, производство и испытание корабельного вооружения и информационно-управляющих систем",Подводная робототехника,202,МИР,25,242800,118,О,Специалитет
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",26.03.02,"Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры","Безопасность технологических процессов и производств в кораблестроении, океанотехнике и на объектах морской инфраструктуры",207,МИР,26,242800,118,О
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",26.05.02,"Проектирование, изготовление и ремонт энергетических установок и систем автоматизации кораблей и судов",Судовые ядерные энергетические установки,212,МИР,34,384000,118,О,Специалитет
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",38.03.01,Экономика,Экономика предприятий и организаций,Бюджет только с этого года,МИР,3,142000,109,"Возможно, программа закрыта"
"Санкт-Петербургский государственный морской технический университет ""Корабелка"" (СПбГМТУ)",38.03.01,Экономика,"Бухгалтерский учет, анализ и аудит",Бюджет только с этого года,МИР,3,142000,109,"Возможно, программа закрыта"
Санкт-Петербургский государственный технологический институт (технический университет) (СПбГТИ),15.03.04,Автоматизация технологических процессов и производств,Автоматизация технологических процессов и производств,187,МИР,48,65000,135,"З, О"
Санкт-Петербургский государственный технологический институт (технический университет) (СПбГТИ),08.03.01,Строительство,Промышленное и гражданское строительство,206,МИР,59,55000,135,"З, О, ОЗ"
Санкт-Петербургский государственный технологический институт (технический университет) (СПбГТИ),27.03.03,Системный анализ и управление,Системный анализ и управление в химической технологии,Бюджет только с этого года,МИР,12,65000,135,"З, О"
Санкт-Петербургский государственный технологический институт (технический университет) (СПбГТИ),15.03.03,Прикладная механика,Динамика и прочность машин и аппаратуры,179,МИР,33,187000,135,О
